,Match,Team1,Team2,Match_Date,Team1_Recent_form,Team2_Recent_form,Team1_rank,Team2_rank,Team1_Star_Player_Count,Team1_Top100_players,Team2_Star_Player_Count,Team2_Top100_players,Head_to_Head_Team1_result_percentage,Team1_Result,Team1_goalkeeper_rank,Team2_goalkeeper_rank
0,2002FrancevsSenagal,France,Senegal,5/31/2002,3.5,3.5,1,42,1,6,0,2,0.0,Loss,3,19
1,2002UruguayvsDenmark,Uruguay,Denmark,6/1/2002,2.5,4.0,24,20,0,1,0,2,0.0,Loss,14,9
2,2002DenmarkvsSenegal,Denmark,Senegal,6/6/2002,4.0,3.5,20,42,0,2,0,2,0.75,Draw,9,19
3,2002FrancevsUruguay,France,Uruguay,6/6/2002,2.5,2.5,1,24,1,6,0,1,0.375,Draw,3,14
4,2002DenmarkvsFrance,Denmark,France,6/11/2002,4.5,2.0,20,1,0,2,1,6,0.5,Win,9,3
5,2002SenegalvsUruguay,Senegal,Uruguay,6/11/2002,3.5,2.5,42,24,0,2,0,1,0.5,Draw,19,14
6,2002ParaguayvsSouthAffrica,Paraguay,South Africa,6/2/2002,2.0,4.0,18,37,0,0,0,0,0.5,Draw,24,30
7,2002SpainvsSlovenia,Spain,Slovenia,6/2/2002,3.5,3.0,8,25,1,4,0,0,1.0,Win,6,31
8,2002SpainvsSParaguay,Spain,Paraguay,6/7/2002,3.5,2.5,8,18,1,4,0,0,0.75,Win,6,24
9,2002SfvsSlo,South Africa,Slovenia,6/8/2002,4.0,3.0,37,25,0,0,0,0,1.0,Win,30,31
10,2002SfvsSpin,South Africa,Spain,6/12/2002,4.5,3.5,37,8,0,0,1,4,0.0,Loss,30,6
11,2002Slovspara,Slovenia,Paraguay,6/12/2002,2.5,2.0,25,18,0,0,0,0,0.0,Win,31,24
12,2002BravsTur,Brazil,Turkey,6/26/2002,5.0,3.5,2,22,3,7,0,2,1.0,Win,5,10
13,2002ChinavsCoRi,China,Costa Rica,6/4/2002,1.0,0.5,50,29,0,0,0,0,0.0,Loss,32,25
14,2002BravsChi,Brazil,China,6/8/2002,4.5,1.0,2,50,3,7,0,0,0.0,Win,5,32
15,2002CoRavsTur,Costa Rica,Turkey,6/9/2002,1.5,1.5,29,22,0,0,0,2,0.5,Draw,25,10
16,2002CoRavsBra,Costa Rica,Brazil,6/13/2002,1.5,4.5,29,2,0,0,3,7,0.142857,Loss,25,5
17,2002TurvsChina,Turkey,China,6/13/2002,2.0,0.5,22,50,0,2,0,0,0.0,Win,10,32
18,2002SKvspol,South Korea,Poland,6/4/2002,3.0,3.0,40,38,0,0,0,0,1.0,Win,20,26
19,2002USvsPor,United States,Portugal,6/5/2002,2.0,3.0,13,5,0,0,1,3,0.5,Win,15,8
20,2002SkvsUs,South Korea,United States,6/10/2002,3.0,3.0,40,13,0,0,0,2,0.625,Draw,20,15
21,2002PorvsPol,Portugal,Poland,6/10/2002,2.0,2.0,5,38,1,3,0,0,0.642857,Win,8,26
22,2002PolvsUS,Poland,United States,6/14/2002,1.0,3.5,38,13,0,0,0,2,0.625,Win,26,15
23,2002IrdvsCame,Ireland,Cameroon,6/1/2002,3.0,2.0,15,17,0,0,1,2,0.0,Draw,22,17
24,2002GervsSa,Germany,Saudi Arabia,6/1/2002,3.0,3.0,11,34,1,3,0,0,1.0,Win,1,28
25,2002GenvaIrd,Germany,Ireland,6/5/2002,3.0,3.5,11,15,1,3,0,0,0.0,Draw,1,22
26,2002CamvsSa,Cameroon,Saudi Arabia,6/6/2002,2.0,3.0,17,34,1,2,0,0,0.5,Win,17,28
27,2002CamvsGen,Cameroon,Germany,6/11/2002,2.5,3.5,17,11,1,2,1,3,0.0,Loss,17,1
28,2002SAvsIrd,Saudi Arabia,Ireland,6/11/2002,3.0,3.0,34,15,0,0,0,0,0.0,Loss,28,22
29,2002ArgvsNig,Argentina,Nigeria,6/2/2002,3.5,4.5,3,27,2,5,0,1,0.833333,Win,7,16
30,2002EngvsSwe,England,Sweden,6/2/2002,2.5,2.0,12,19,1,4,0,1,0.526316,Draw,4,11
31,2002SewvsNig,Sweden,Nigeria,6/7/2002,2.0,4.0,19,27,0,1,0,1,1.0,Win,11,16
32,2002ArgvsEng,Argentina,England,6/7/2002,3.5,2.5,3,12,2,5,1,4,0.428571,Loss,7,4
33,2002SwevsArg,Sweden,Argentina,6/12/2002,2.5,3.0,19,3,0,1,2,5,0.75,Draw,11,7
34,2002NigvsEng,Nigeria,England,6/12/2002,3.0,3.5,27,12,0,1,1,4,0.25,Draw,16,4
35,2002CrovsMex,Croatia,Mexico,6/3/2002,3.5,4.0,21,7,0,1,0,2,0.666667,Loss,12,18
36,2002ItavsEcu,Italy,Ecuador,6/3/2002,3.0,2.5,6,36,2,5,0,0,1.0,Win,2,29
37,2002ItavsCro,Italy,Croatia,6/8/2002,3.5,3.0,6,21,2,5,0,1,0.4,Loss,2,12
38,2002MexvsEcu,Mexico,Ecuador,6/9/2002,5.0,2.5,7,36,0,2,0,0,0.75,Win,18,29
39,2002MexvsIta,Mexico,Italy,6/13/2002,5.0,2.5,7,6,0,2,2,5,0.2,Draw,18,2
40,2002EcuvsCroatia,Ecuador,Croatia,6/13/2002,1.5,3.5,36,21,0,0,0,1,1.0,Win,29,12
41,2002JapvsBel,Japan,Belgium,6/4/2002,2.5,4.0,32,23,0,0,0,1,0.5,Draw,21,13
42,2002RusvsTun,Russia,Tunisia,6/5/2002,1.5,1.5,28,31,0,0,0,0,1.0,Win,23,27
43,2002japvsRus,Japan,Russia,6/9/2002,2.5,2.5,32,28,0,0,0,0,0.25,Win,21,23
44,2002TunvsBel,Tunisia,Belgium,6/10/2002,1.0,3.5,31,23,0,0,0,1,0.75,Draw,27,13
45,2002TunvsJpa,Tunisia,Japan,6/14/2002,1.0,2.5,31,32,0,0,0,0,0.0,Loss,27,21
46,2002BelvsRussia,Belgium,Russia,6/14/2002,3.5,2.5,23,28,0,1,0,0,0.357143,Win,13,23
47,2002GenvsPara,Germany,Paraguay,6/15/2002,3.5,2.5,11,18,1,3,0,0,1.0,Win,1,24
48,2002MexvsUs,Mexico,United States,6/17/2002,4.5,2.5,7,13,0,2,0,2,0.7,Loss,18,15
49,2002SpavsIrd,Spain,Ireland,6/16/2002,4.0,3.0,8,15,1,4,0,0,0.0,Draw,6,22
50,2002SkvsIta,South Korea,Italy,6/18/2002,3.0,2.0,40,6,0,0,2,5,0.5,Win,20,2
51,2002DenvsEng,Denmark,England,6/15/2002,4.5,3.0,20,12,0,2,1,4,0.2,Loss,9,4
52,2002BravsBel,Brazil,Belgium,6/17/2002,5.0,4.0,2,23,3,7,0,1,0.75,Win,5,13
53,2002SewvsSen,Sweden,Senegal,6/16/2002,2.5,3.0,19,42,0,1,0,2,0.0,Loss,11,19
54,2002JapvsTur,Japan,Turkey,6/18/2002,3.0,2.5,32,22,0,0,0,2,0.5,Loss,21,10
55,2002GenvsUS,Germany,United States,6/21/2002,4.5,2.5,11,13,1,3,0,2,0.714286,Win,1,15
56,2002SpavsSk,Spain,South Korea,6/22/2002,4.5,3.5,8,40,1,4,0,0,0.666667,Draw,6,20
57,2002EngvsBra,England,Brazil,6/21/2002,3.5,5.0,12,2,1,4,3,7,0.333333,Loss,4,5
58,2002SenvsTur,Senegal,Turkey,6/22/2002,4.0,2.5,42,22,0,2,0,2,0.0,Loss,19,10
59,2002GenvsSk,Germany,South Korea,6/25/2002,4.5,4.0,11,40,1,3,0,0,1.0,Win,1,20
60,2002BravsTur,Brazil,Turkey,6/26/2002,5.0,3.5,2,22,3,7,0,2,1.0,Win,5,10
61,2002Final_GenvsBra,Germany,Brazil,6/30/2002,4.5,5.0,11,2,1,3,3,7,0.277778,Loss,1,5
62,2002SkvsTur,South Korea,Turkey,6/29/2002,3.0,3.5,29,22,0,0,0,2,0.125,Loss,20,10
63,2006GervsCoRi,Germany,Costa Rica,6/9/2006,3.5,1.0,19,25,4,5,0,0,1.0,Win,2,28
64,2006PolvsRcu,Poland,Ecuador,6/9/2006,3.0,1.5,29,39,1,1,1,1,0.5,Loss,16,23
