Match,Team1,Team2,Team1_rank,Team2_rank,Team1_Star_Player_Count,Team1_Top100_players,Team2_Star_Player_Count,Team2_Top100_players,Team1_Recent_form,Team2_Recent_form,Head_to_Head_Team1_result_precentage,Team1_Result,Team1_goalkeeper_rank,Team2_goalkeeper_rank
2002FrancevsSenagal,France,Senegal,1,42,1,6,0,2,,,,-1,3,19
2002UruguayvsDenmark,Uruguay,Denmark,24,20,0,1,0,2,,,,-1,14,9
2002DenmarkvsSenegal,Denmark,Senegal,20,42,0,2,0,2,,,,0,9,19
2002FrancevsUruguay,France,Uruguay,1,24,1,6,0,1,,,,0,3,14
2002DenmarkvsFrance,Denmark,France,20,1,0,2,1,6,,,,1,9,3
2002SenegalvsUruguay,Senegal,Uruguay,42,24,0,2,0,1,,,,0,19,14
2002ParaguayvsSouthAffrica,Paraguay,South Africa,18,37,0,0,0,0,,,,0,24,30
2002SpainvsSlovenia,Spain,Slovenia,8,25,1,4,0,0,,,,1,6,31
2002SpainvsSParaguay,Spain,Paraguay,8,18,1,4,0,0,,,,1,6,24
2002SfvsSlo,South Africa,Slovenia,37,25,0,0,0,0,,,,1,30,31
2002SfvsSpin,South Africa,Spain,37,8,0,0,1,4,,,,-1,30,6
2002Slovspara,Slovenia,Paraguay,25,18,0,0,0,0,,,,1,31,24
2002BravsTur,Brazil,Turkey,2,22,3,7,0,2,,,,1,5,10
2002ChinavsCoRi,China,Costa Rica,50,29,0,0,0,0,,,,-1,32,25
2002BravsChi,Brazil,China,2,50,3,7,0,0,,,,1,5,32
2002CoRavsTur,Costa Rica,Turkey,29,22,0,0,0,2,,,,0,25,10
2002CoRavsBra,Costa Rica,Brazil,29,2,0,0,3,7,,,,-1,25,5
2002TurvsChina,Turkey,China,22,50,0,2,0,0,,,,1,10,32
2002SKvspol,South Korea,Poland,40,38,0,0,0,0,,,,1,20,26
2002USvsPor,United States,Portugal,13,5,0,0,1,3,,,,1,15,8
2002SkvsUs,South Korea,United states,40,13,0,0,0,2,,,,0,20,15
2002PorvsPol,Portugal,Poland,5,38,1,3,0,0,,,,1,8,26
2002PolvsUS,Poland,United states,38,13,0,0,0,2,,,,1,26,15
2002IrdvsCame,Ireland,Cameroon,15,17,0,0,1,2,,,,0,22,17
2002GervsSa,Germany,Saudi arabia,11,34,1,3,0,0,,,,1,1,28
2002GenvaIrd,Germany,Ireland,11,15,1,3,0,0,,,,0,1,22
2002CamvsSa,Cameroon,Saudi arabia,17,34,1,2,0,0,,,,1,17,28
2002CamvsGen,Cameroon,Germany,17,11,1,2,1,3,,,,-1,17,1
2002SAvsIrd,Saudi arabia,Ireland,34,15,0,0,0,0,,,,-1,28,22
2002ArgvsNig,Argentina,Nigeria,3,27,2,5,0,1,,,,1,7,16
2002EngvsSwe,England,Sweden,12,19,1,4,0,1,,,,0,4,11
2002SewvsNig,Sweden,Nigeria,19,27,0,1,0,1,,,,1,11,16
2002ArgvsEng,Argentina,England,3,12,2,5,1,4,,,,-1,7,4
2002SwevsArg,Sweden,Argentina,19,3,0,1,2,5,,,,0,11,7
2002NigvsEng,Nigeria,England,27,12,0,1,1,4,,,,0,16,4
2002CrovsMex,Croatia,Mexico,21,7,0,1,0,2,,,,-1,12,18
2002ItavsEcu,Italy,Ecuador,6,36,2,5,0,0,,,,1,2,29
2002ItavsCro,Italy,Croatia,6,21,2,5,0,1,,,,-1,2,12
2002MexvsEcu,Mexico,Ecuador,7,36,0,2,0,0,,,,1,18,29
2002MexvsIta,Mexico,Italy,7,6,0,2,2,5,,,,0,18,2
2002EcuvsCroatia,Ecuador,Croatia,36,21,0,0,0,1,,,,1,29,12
