Date,Match,Team1,Team2,Team1_rank,Team2_rank,Team1_Star_Player_Count,Team1_Top100_players,Team2_Star_Player_Count,Team2_Top100_players,Team1_Recent_form,Team2_Recent_form,Head_to_Head_Team1_result_precentage,Team1_Result,Team1_goalkeeper_rank,Team2_goalkeeper_rank,Head_to_Head_Team1_result_percentage
2002/06,2002FrancevsSenagal,France,Senegal,1,42,1,6,0,2,,,,-1,3,19,0
2002/07,2002UruguayvsDenmark,Uruguay,Denmark,24,20,0,1,0,2,,,,-1,14,9,0
2002/07,2002DenmarkvsSenegal,Denmark,Senegal,20,42,0,2,0,2,,,,0,9,19,0.75
2002/07,2002FrancevsUruguay,France,Uruguay,1,24,1,6,0,1,,,,0,3,14,0.375
2002/07,2002DenmarkvsFrance,Denmark,France,20,1,0,2,1,6,,,,1,9,3,0.5
2002/07,2002SenegalvsUruguay,Senegal,Uruguay,42,24,0,2,0,1,,,,0,19,14,0.5
2002/07,2002ParaguayvsSouthAffrica,Paraguay,South Africa,18,37,0,0,0,0,,,,0,24,30,0.5
2002/07,2002SpainvsSlovenia,Spain,Slovenia,8,25,1,4,0,0,,,,1,6,31,1
2002/07,2002SpainvsSParaguay,Spain,Paraguay,8,18,1,4,0,0,,,,1,6,24,0.75
2002/07,2002SfvsSlo,South Africa,Slovenia,37,25,0,0,0,0,,,,1,30,31,1
2002/07,2002SfvsSpin,South Africa,Spain,37,8,0,0,1,4,,,,-1,30,6,0
2002/07,2002Slovspara,Slovenia,Paraguay,25,18,0,0,0,0,,,,1,31,24,0
2002/07,2002BravsTur,Brazil,Turkey,2,22,3,7,0,2,,,,1,5,10,1
2002/07,2002ChinavsCoRi,China,Costa Rica,50,29,0,0,0,0,,,,-1,32,25,0
2002/07,2002BravsChi,Brazil,China,2,50,3,7,0,0,,,,1,5,32,0
2002/07,2002CoRavsTur,Costa Rica,Turkey,29,22,0,0,0,2,,,,0,25,10,0.5
2002/07,2002CoRavsBra,Costa Rica,Brazil,29,2,0,0,3,7,,,,-1,25,5,0.142857143
2002/07,2002TurvsChina,Turkey,China,22,50,0,2,0,0,,,,1,10,32,0
2002/07,2002SKvspol,South Korea,Poland,40,38,0,0,0,0,,,,1,20,26,1
2002/07,2002USvsPor,United States,Portugal,13,5,0,0,1,3,,,,1,15,8,0.5
2002/07,2002SkvsUs,South Korea,United States,40,13,0,0,0,2,,,,0,20,15,0.625
2002/07,2002PorvsPol,Portugal,Poland,5,38,1,3,0,0,,,,1,8,26,0.642857143
2002/07,2002PolvsUS,Poland,United States,38,13,0,0,0,2,,,,1,26,15,0.625
2002/07,2002IrdvsCame,Ireland,Cameroon,15,17,0,0,1,2,,,,0,22,17,0
2002/07,2002GervsSa,Germany,Saudi Arabia,11,34,1,3,0,0,,,,1,1,28,1
2002/07,2002GenvaIrd,Germany,Ireland,11,15,1,3,0,0,,,,0,1,22,0
2002/07,2002CamvsSa,Cameroon,Saudi Arabia,17,34,1,2,0,0,,,,1,17,28,0.5
2002/07,2002CamvsGen,Cameroon,Germany,17,11,1,2,1,3,,,,-1,17,1,0
2002/07,2002SAvsIrd,Saudi Arabia,Ireland,34,15,0,0,0,0,,,,-1,28,22,0
2002/07,2002ArgvsNig,Argentina,Nigeria,3,27,2,5,0,1,,,,1,7,16,0.833333333
2002/07,2002EngvsSwe,England,Sweden,12,19,1,4,0,1,,,,0,4,11,0.526315789
2002/07,2002SewvsNig,Sweden,Nigeria,19,27,0,1,0,1,,,,1,11,16,1
2002/07,2002ArgvsEng,Argentina,England,3,12,2,5,1,4,,,,-1,7,4,0.428571429
2002/07,2002SwevsArg,Sweden,Argentina,19,3,0,1,2,5,,,,0,11,7,0.75
2002/07,2002NigvsEng,Nigeria,England,27,12,0,1,1,4,,,,0,16,4,0.25
2002/07,2002CrovsMex,Croatia,Mexico,21,7,0,1,0,2,,,,-1,12,18,0.666666667
2002/07,2002ItavsEcu,Italy,Ecuador,6,36,2,5,0,0,,,,1,2,29,1
2002/07,2002ItavsCro,Italy,Croatia,6,21,2,5,0,1,,,,-1,2,12,0.4
2002/07,2002MexvsEcu,Mexico,Ecuador,7,36,0,2,0,0,,,,1,18,29,0.75
2002/07,2002MexvsIta,Mexico,Italy,7,6,0,2,2,5,,,,0,18,2,0.2
2002/07,2002EcuvsCroatia,Ecuador,Croatia,36,21,0,0,0,1,,,,1,29,12,1
2002/07,2002JapvsBel,Japan,Belgium,32,23,0,0,0,1,,,,0,21,13,0.5
2002/07,2002RusvsTun,Russia,Tunisia,28,31,0,0,0,0,,,,1,23,27,1
2002/07,2002japvsRus,Japan,Russia,32,28,0,0,0,0,,,,1,21,23,0.25
2002/07,2002TunvsBel,Tunisia,Belgium,31,23,0,0,0,1,,,,0,27,13,0.75
2002/07,2002TunvsJpa,Tunisia,Japan,31,32,0,0,0,0,,,,-1,27,21,0
2002/07,2002BelvsRussia,Belgium,Russia,23,28,0,1,0,0,,,,1,13,23,0.357142857
2002/07,2002GenvsPara,Germany,Paraguay,11,18,1,3,0,0,,,,1,1,24,1
2002/07,2002MexvsUs,Mexico,United States,7,13,0,2,0,2,,,,-1,18,15,0.7
2002/07,2002SpavsIrd,Spain,Ireland,8,15,1,4,0,0,,,,0,6,22,0
2002/07,2002SkvsIta,South Korea,Italy,40,6,0,0,2,5,,,,1,20,2,0.5
2002/07,2002DenvsEng,Denmark,England,20,12,0,2,1,4,,,,-1,9,4,0.2
